"docid","docnumber","docdate","parent","request"
430510,"ОП-З-00292-015","2023-07-10 09:58:28.997066+03",421076,"1024301004860"
439182,"О-З-00781-001","2023-07-20 17:35:02.026832+03",439113,"1020100510319"
424925,"О-З-00383-001","2023-07-04 15:52:01.95031+03",424761,"1025203750791"
423292,"ОП-З-00339-001","2023-07-03 18:23:23.377725+03",423105,"1022901003861"
430005,"О-З-00456-003","2023-07-07 15:36:02.21846+03",427664,"1034316545064"
428180,"ОП-З-00472-001","2023-07-06 14:20:38.65246+03",428156,"1060814074595"
427138,"ОП-З-00443-001","2023-07-06 10:46:38.759518+03",427115,"1026700852089"
428375,"О-З-00384-003","2023-07-06 15:16:02.047577+03",424879,"1025203750791"
427781,"ОП-З-00458-001","2023-07-06 12:53:06.475954+03",427701,"1022701290116"
429405,"ОП-З-00500-001","2023-07-07 11:35:49.400023+03",429386,"1022200907794"
429871,"ОП-З-00516-001","2023-07-07 14:43:05.592183+03",429820,"1027808758669"
428888,"О-З-00355-003","2023-07-07 08:52:02.353876+03",423447,"1142722001223"
427800,"ОП-З-00460-001","2023-07-06 12:58:27.987709+03",427770,"1026401590786"
430242,"ОП-З-00491-002","2023-07-07 17:15:37.225308+03",429016,"1035607500224"
439196,"ОП-З-00781-002","2023-07-20 17:37:00.919786+03",439113,"1020100510319"
428621,"ОП-З-00478-001","2023-07-06 17:01:59.246793+03",428596,"1025203750791"
427852,"ОП-З-00462-001","2023-07-06 13:15:09.935444+03",427815,"1022401793248"
428465,"ОП-З-00457-005","2023-07-06 15:40:41.329561+03",427693,"1027802505279"
428658,"ОП-З-00477-001","2023-07-06 17:10:42.96798+03",428589,"1026103709499"
430906,"ОП-З-00534-002","2023-07-10 11:52:39.87039+03",430799,"1027808757844"
427535,"ОП-З-00452-001","2023-07-06 12:42:10.891298+03",427480,"1024400523322"
435603,"О-З-00668-003","2023-07-17 16:11:02.163155+03",435409,"1209200005486"
435378,"ОП-З-00663-001","2023-07-17 15:47:02.3014+03",435294,"1033301806537"
412700,"ОП-З-00020-001","2023-06-20 12:43:32.433045+03",412518,"1026401590610"
412449,"О-З-00017-001","2023-06-20 09:28:02.059659+03",412442,"1030100510461"
416174,"ОП-З-00128-001","2023-06-27 11:46:13.553784+03",416138,"1027808757844"
415422,"ОП-З-00109-001","2023-06-26 13:54:39.174865+03",415410,"1027739054420"
413936,"З-00073","2023-06-23 06:31:01.626025+03",NULL,"1022200907794"
412256,"ОП-З-00004-001","2023-06-19 14:25:25.024157+03",412244,"1026605402394"
415796,"ОП-З-00116-001","2023-06-27 09:30:44.920739+03",415708,"1173850022774"
412203,"З-00003","2023-06-19 13:37:01.991933+03",NULL,"1022701290116"
416088,"ОП-З-00116-002","2023-06-27 11:10:07.10684+03",415708,"1173850022774"
429066,"ОП-З-00489-001","2023-07-07 10:10:29.728275+03",428931,"1153668049028"
429138,"О-З-00355-004","2023-07-07 10:22:01.630207+03",423447,"1142722001223"
428664,"ОП-З-00479-001","2023-07-06 17:10:55.744614+03",428647,"1202100006239"
437325,"ОП-З-00730-001","2023-07-19 11:18:14.7519+03",437314,"1030203921076"
444697,"ОП-З-00968-001","2023-08-04 13:46:14.856022+03",444665,"1025100653687"
507413,"ОП-З-02689-001","2023-10-24 15:51:41.990976+03",507399,"1023701508236"
432537,"ОП-З-00575-001","2023-07-12 12:01:40.289435+03",432526,"1025702657298"
476243,"ОП-З-01936-001","2023-09-15 13:22:17.620947+03",476213,"1020201933950"
436188,"ОП-З-00697-001","2023-07-18 10:13:28.226824+03",436148,"1027739733922"
428540,"ОП-З-00457-006","2023-07-06 15:59:02.796692+03",427693,"1027802505279"
427643,"ОП-З-00430-002","2023-07-06 12:21:55.417815+03",426705,"1024001186483"
428723,"ОП-З-00441-003","2023-07-06 17:48:21.799806+03",427029,"1072130006740"
429897,"ОП-З-00506-001","2023-07-07 14:50:34.052412+03",429640,"1025100804453"
428731,"ОП-З-00476-002","2023-07-06 17:56:56.873066+03",428496,"1025301788775"
430062,"ОП-З-00291-003","2023-07-07 15:57:03.139065+03",420957,"1027802496732"
430087,"ОП-З-00292-011","2023-07-07 16:01:04.477353+03",421076,"1024301004860"
446188,"ОП-З-01027-001","2023-08-10 11:45:41.899135+03",446126,"1027809197635"
490209,"ОП-З-02279-001","2023-10-04 10:15:06.641157+03",489956,"1027900635883"
430139,"ОП-З-00456-006","2023-07-07 16:33:18.537218+03",427664,"1034316545064"
455354,"ОП-З-01318-002","2023-08-30 10:30:59.297806+03",455278,"1027501147134"
432077,"ОП-З-00564-001","2023-07-11 14:01:56.594831+03",432062,"1041501903508"
432840,"О-З-00573-002","2023-07-12 15:23:02.161283+03",432415,"1023401998707"
431312,"ОП-З-00540-003","2023-07-10 16:04:25.992751+03",431254,"1034700559475"
489140,"ОП-З-02259-001","2023-10-03 10:00:00.695577+03",489066,"1023101668150"
438527,"ОП-З-00752-003","2023-07-20 11:41:54.644006+03",438444,"1033500072660"
432297,"ОП-З-00568-001","2023-07-11 16:22:47.594007+03",432269,"1033500072660"
477512,"ОП-З-01969-001","2023-09-18 15:00:46.049059+03",477490,"1025100653687"
434204,"О-З-00597-002","2023-07-14 10:22:01.562135+03",433385,"1027809197635"
433233,"ОП-З-00587-002","2023-07-13 10:20:06.016295+03",433133,"1031616006025"
438472,"О-З-00752-001","2023-07-20 11:29:02.371019+03",438444,"1033500072660"
433957,"ОП-З-00616-001","2023-07-14 09:01:55.336871+03",433857,"1065302005295"
454726,"ОП-З-01296-001","2023-08-29 17:57:08.219896+03",454662,"1027809197635"
442589,"ОП-З-00895-001","2023-08-01 10:29:26.394055+03",442568,"1027101415846"
487740,"ОП-З-02229-001","2023-09-29 15:08:25.384681+03",487681,"1025100653687"
486687,"ОП-З-02209-001","2023-09-29 10:32:30.768721+03",486616,"1024600966290"
434994,"ОП-З-00656-001","2023-07-17 10:51:29.574563+03",434983,"1037739049105"
434249,"ОП-З-00631-001","2023-07-14 10:40:58.832199+03",434226,"1020502523623"
439690,"О-З-00798-001","2023-07-21 11:49:02.350343+03",439618,"1025801438651"
437684,"ОП-З-00732-002","2023-07-19 14:23:01.127791+03",437428,"1027802505279"
437726,"ОП-З-00736-001","2023-07-19 15:23:59.861729+03",437656,"1027101415846"
437475,"О-З-00730-002","2023-07-19 12:16:01.456761+03",437314,"1030203921076"
437064,"О-З-00707-002","2023-07-18 16:51:01.7413+03",436410,"1022601976154"
436553,"ОП-З-00707-002","2023-07-18 12:06:33.294929+03",436410,"1022601976154"
484264,"ОП-З-02140-001","2023-09-27 14:02:26.661969+03",484253,"1022301812500"
439907,"ОП-З-00783-002","2023-07-21 14:33:16.705941+03",439223,"1020100708682"
443799,"О-З-00859-004","2023-08-03 04:00:02.462806+03",441725,"1022501296520"
440035,"ОП-З-00798-004","2023-07-21 15:55:02.560371+03",439618,"1025801438651"
494802,"ОП-З-02377-002","2023-10-09 11:59:46.05754+03",494629,"1022800532809"
516729,"ОП-З-03014-001","2023-11-14 14:28:25.024441+03",516718,"1025300990956"
460079,"ОП-З-01450-002","2023-09-04 15:42:04.959642+03",459785,"1037800006089"
442115,"ОП-З-00871-001","2023-07-31 14:08:22.927385+03",442104,"1030203921076"
443688,"ОП-З-00925-001","2023-08-02 13:00:49.812431+03",443665,"1023404237669"
412987,"ОП-З-00031-001","2023-06-21 10:18:10.258502+03",412951,"1026604939855"
414567,"О-З-00088-001","2023-06-23 12:21:02.381116+03",414497,"1027739733922"
422201,"ОП-З-00308-001","2023-07-03 10:43:11.130525+03",421812,"1020400755781"
412235,"ОП-З-00003-001","2023-06-19 14:01:12.340655+03",412203,"1022701290116"
476638,"ОП-З-01907-005","2023-09-15 15:31:32.567068+03",475247,"1024800834250"
440507,"ОП-З-00821-001","2023-07-25 09:02:10.04854+03",440456,"1020400755242"
481034,"ОП-З-02053-001","2023-09-21 16:09:43.97788+03",480966,"1026103275440"
489176,"О-З-02257-001","2023-10-03 10:03:02.221719+03",489037,"1022401359177"
465374,"ОП-З-01607-001","2023-09-07 09:04:31.566468+03",465338,"1023801748761"
440520,"ОП-З-00825-001","2023-07-25 09:04:06.314565+03",440496,"1153668049028"
466609,"ОП-З-01543-004","2023-09-07 14:51:20.583215+03",463008,"1026900570201"
443434,"ОП-З-00859-004","2023-08-02 10:05:31.658435+03",441725,"1022501296520"
495456,"ОП-З-02401-002","2023-10-10 08:42:35.152125+03",495402,"1020201933950"
468355,"ОП-З-01692-001","2023-09-08 15:25:21.087984+03",468184,"1024502052530"
441275,"ОП-З-00587-004","2023-07-26 13:26:13.174963+03",433133,"1031616006025"
442730,"ОП-З-00884-001","2023-08-01 11:16:40.218956+03",442346,"1142452001130"
446364,"ОП-З-01034-001","2023-08-10 16:15:24.110968+03",446277,"1027600693812"
521539,"ОП-З-03168-001","2023-11-22 14:02:38.4891+03",521528,"1021301063761"
444559,"ОП-З-00962-002","2023-08-04 12:01:45.318353+03",444376,"1025300993838"
440280,"ОП-З-00810-002","2023-07-24 14:10:14.823437+03",440229,"1027802496732"
442875,"ОП-З-00897-002","2023-08-01 11:46:07.029598+03",442776,"1037828029007"
465619,"О-З-01543-003","2023-09-07 10:04:02.333196+03",463008,"1026900570201"
461133,"ОП-З-01486-002","2023-09-05 11:24:16.760203+03",460996,"1022304015359"
441513,"О-З-00587-002","2023-07-27 14:22:01.89258+03",433133,"1031616006025"
442839,"ОП-З-00897-001","2023-08-01 11:28:29.59096+03",442776,"1037828029007"
443222,"ОП-З-00912-001","2023-08-01 15:33:26.103395+03",443198,"1022900529431"
456118,"О-З-01325-001","2023-08-30 17:12:01.64205+03",455689,"1021500582278"
443029,"ОП-З-00903-001","2023-08-01 12:52:40.323273+03",442937,"1027806887184"
442948,"ОП-З-00901-001","2023-08-01 12:26:46.118375+03",442922,"1022601974757"
444016,"ОП-З-00884-002","2023-08-03 14:18:04.941922+03",442346,"1142452001130"
465484,"ОП-З-01609-001","2023-09-07 09:22:17.377998+03",465445,"1024001432234"
443820,"ОП-З-00929-001","2023-08-03 09:07:57.939008+03",443777,"1025700525487"
444395,"О-З-00962-001","2023-08-04 09:40:01.921624+03",444376,"1025300993838"
476313,"ОП-З-01907-004","2023-09-15 13:57:50.341877+03",475247,"1024800834250"
445397,"ОП-З-01006-001","2023-08-08 11:53:32.819538+03",445361,"1034316511041"
465506,"ОП-З-01611-001","2023-09-07 09:26:20.982731+03",465476,"1023500891512"
478554,"ОП-З-01991-001","2023-09-19 12:32:24.60721+03",478464,"1030203921076"
460137,"ОП-З-01416-003","2023-09-04 15:52:22.684674+03",458719,"1038302271919"
460630,"ОП-З-01470-001","2023-09-05 06:14:54.946836+03",460509,"1037800006089"
471717,"ОП-З-01778-003","2023-09-12 13:39:34.450519+03",470769,"1025901702485"
446068,"ОП-З-01021-001","2023-08-09 17:46:35.359684+03",445924,"1023800524802"
478562,"О-З-01961-010","2023-09-19 12:34:02.089318+03",477219,"1024001432234"
479562,"ОП-З-01976-004","2023-09-20 09:34:03.034989+03",477789,"1023801748761"
448025,"ОП-З-01072-001","2023-08-16 09:53:18.590321+03",448010,"1026602950065"
481134,"ОП-З-01994-004","2023-09-21 16:28:25.426036+03",478663,"1022301812500"
475511,"О-З-01830-002","2023-09-15 06:46:02.255476+03",472314,"1023801748761"
446538,"О-З-00972-001","2023-08-11 10:25:01.790002+03",444738,"1160726050803"
446381,"О-З-01024-001","2023-08-10 23:47:02.401253+03",445974,"1023909018694"
481633,"О-З-02069-001","2023-09-22 10:44:02.268652+03",481485,"1033301806537"
465671,"ОП-З-01613-001","2023-09-07 10:46:21.412613+03",465582,"1027810232680"
446446,"ОП-З-01036-001","2023-08-11 09:32:01.702775+03",446398,"1022800710613"
446440,"ОП-З-01023-002","2023-08-11 09:27:43.474694+03",445941,"1023701830888"
448742,"О-З-01092-001","2023-08-17 09:42:01.827415+03",448735,"1026403670765"
444546,"ОП-З-00966-001","2023-08-04 11:46:06.700565+03",444535,"1021200785363"
466130,"ОП-З-01628-001","2023-09-07 12:25:01.314082+03",465977,"1023801748761"
449482,"ОП-З-01033-002","2023-08-17 15:43:55.951875+03",446270,"1021000541979"
466635,"ОП-З-01626-002","2023-09-07 14:55:42.677153+03",465941,"1037800006089"
516929,"ОП-З-03021-001","2023-11-14 16:53:25.238075+03",516909,"1022301812500"
477949,"ОП-З-01602-002","2023-09-19 09:52:07.810238+03",465209,"1025501174885"
452100,"ОП-З-01207-001","2023-08-24 13:32:16.744655+03",452089,"1149102131265"
448483,"ОП-З-01083-001","2023-08-16 15:21:05.246574+03",448444,"1156027004715"
449653,"ОП-З-01111-001","2023-08-18 09:06:41.108259+03",449612,"1037811048989"
448236,"ОП-З-01076-001","2023-08-16 11:56:10.104987+03",448216,"1027700215344"
450320,"ОП-З-01132-001","2023-08-21 16:21:12.721657+03",450292,"1027501147134"
417532,"ОП-З-00168-001","2023-06-27 19:39:32.294434+03",417520,"1025801103679"
412749,"З-00025","2023-06-20 14:34:02.434109+03",NULL,"1021000843478"
413588,"З-00057","2023-06-22 13:16:02.032769+03",NULL,"1025100804453"
423995,"ОП-З-00361-001","2023-07-04 11:12:35.991475+03",423504,"1026605402394"
450540,"ОП-З-00978-004","2023-08-22 12:47:51.153194+03",444889,"1024101031790"
475808,"ОП-З-01923-001","2023-09-15 11:03:45.751103+03",475797,"1027000885251"
497341,"ОП-З-02450-001","2023-10-11 15:18:05.121373+03",497301,"1027600693812"
452560,"ОП-З-01227-001","2023-08-25 15:08:53.061523+03",452542,"1021500771819"
453256,"ОП-З-01245-001","2023-08-28 11:43:18.746195+03",453144,"1022701295011"
453478,"ОП-З-00910-002","2023-08-28 12:27:02.918012+03",443160,"1021300972769"
453663,"ОП-З-01256-002","2023-08-28 14:17:40.176993+03",453584,"1036300667534"
530824,"ОП-З-03402-001","2023-12-14 09:26:14.383814+03",530812,"1025401011680"
466284,"О-З-01624-001","2023-09-07 13:14:01.987589+03",465925,"1149204051061"
456185,"ОП-З-01339-002","2023-08-30 17:28:06.210193+03",456127,"1037800006089"
460155,"О-З-01416-003","2023-09-04 15:58:01.789917+03",458719,"1038302271919"
456419,"ОП-З-01331-002","2023-08-31 09:01:47.480507+03",455835,"1035605503878"
459041,"ОП-З-01425-001","2023-09-04 12:36:08.156993+03",458929,"1025203045482"
476285,"ОП-З-01938-001","2023-09-15 13:54:36.816847+03",476264,"1021300972769"
457126,"ОП-З-01364-001","2023-08-31 16:24:28.90657+03",457101,"1023301283290"
513660,"ОП-З-02928-001","2023-11-10 10:37:42.154603+03",513628,"1033500072660"
459094,"ОП-З-01430-001","2023-09-04 12:33:36.964261+03",458986,"1027101506167"
446043,"ОП-З-01015-003","2023-08-09 17:42:55.374199+03",445772,"1159102004050"
466343,"ОП-З-01559-003","2023-09-07 13:32:42.712669+03",463507,"1127451018750"
456741,"О-З-01070-002","2023-08-31 11:11:01.932295+03",447967,"1020300667034"
456750,"О-З-01336-001","2023-08-31 11:12:01.509397+03",455984,"1023402985242"
462153,"ОП-З-01514-001","2023-09-05 16:04:57.897019+03",461948,"1025602002007"
455772,"О-З-00899-001","2023-08-30 15:11:01.672229+03",442884,"1035802000959"
455418,"О-З-01318-003","2023-08-30 10:49:01.805576+03",455278,"1027501147134"
463891,"О-З-01566-001","2023-09-06 14:16:02.039393+03",463686,"1024502052530"
492024,"ОП-З-02198-002","2023-10-05 10:40:21.910915+03",486396,"1023801748761"
455995,"ОП-З-01332-001","2023-08-30 16:21:19.2248+03",455938,"1027501153074"
524002,"ОП-З-03206-009","2023-11-27 17:18:54.082604+03",523366,"1022301597647"
456558,"ОП-З-01345-001","2023-08-31 09:39:28.394722+03",456384,"1142722001223"
460782,"ОП-З-01477-003","2023-09-05 07:17:39.591977+03",460610,"1022800532809"
468460,"ОП-З-01686-001","2023-09-08 15:55:30.311935+03",467960,"1030203921076"
466656,"ОП-З-01644-001","2023-09-07 15:17:31.601419+03",466644,"1027810232680"
457747,"О-З-01378-002","2023-09-01 14:22:01.551567+03",457329,"1036300667534"
462293,"ОП-З-01519-001","2023-09-05 16:29:13.904655+03",462253,"1022900529431"
415872,"ОП-З-00123-001","2023-06-27 09:56:31.755724+03",415813,"1022601976154"
412812,"ОП-З-00008-002","2023-06-20 17:33:51.051494+03",412359,"1024301004860"
418580,"ОП-З-00196-002","2023-06-28 16:22:46.773194+03",418325,"1021000843478"
419664,"ОП-З-00191-003","2023-06-29 15:35:00.85932+03",417897,"1023701393913"
412926,"З-00029","2023-06-21 09:58:01.501415+03",NULL,"1023280750041"
412541,"З-00022","2023-06-20 10:21:02.477497+03",NULL,"1027802496732"
423983,"ОП-З-00359-001","2023-07-04 11:11:03.433199+03",423488,"1026605402394"
460852,"ОП-З-01419-002","2023-09-05 09:32:29.783553+03",458787,"1023801748761"
461183,"ОП-З-01489-001","2023-09-05 11:32:50.786401+03",461091,"1023800844319"
476379,"О-З-01938-001","2023-09-15 14:25:02.416895+03",476264,"1021300972769"
466684,"ОП-З-01645-001","2023-09-07 15:21:10.881452+03",466661,"1033600044070"
458894,"ОП-З-01421-001","2023-09-04 12:08:16.144821+03",458871,"1027809197635"
480531,"ОП-З-02036-003","2023-09-21 10:53:36.878952+03",480431,"1021500582278"
460369,"ОП-З-01466-001","2023-09-04 16:57:31.456834+03",460343,"1027810241502"
480763,"ОП-З-02044-001","2023-09-21 13:55:14.913098+03",480734,"1027810232680"
459030,"О-З-01414-001","2023-09-04 12:27:01.709336+03",458693,"1023101677323"
459339,"ОП-З-01414-002","2023-09-04 12:55:28.404336+03",458693,"1023101677323"
466117,"О-З-01613-001","2023-09-07 12:23:02.335749+03",465582,"1027810232680"
470297,"ОП-З-01759-003","2023-09-11 13:37:04.056265+03",470176,"1025901702485"
489266,"ОП-З-02257-004","2023-10-03 10:24:48.397865+03",489037,"1022401359177"
459960,"ОП-З-01456-001","2023-09-04 15:12:07.141783+03",459934,"1159102037940"
458570,"О-З-01010-004","2023-09-04 10:48:02.136823+03",445594,"1024800834255"
460041,"ОП-З-01453-001","2023-09-04 15:47:03.218413+03",459819,"1157847144542"
459655,"ОП-З-01446-001","2023-09-04 13:51:41.05858+03",459634,"1025501174885"
460478,"ОП-З-01469-002","2023-09-04 18:41:19.097534+03",460435,"1027806887184"
459661,"ОП-З-01444-001","2023-09-04 13:52:41.509183+03",459556,"1149102131265"
460050,"ОП-З-01458-001","2023-09-04 15:39:25.79134+03",459991,"1025602002007"
462192,"О-З-01506-004","2023-09-05 16:11:02.185467+03",461712,"1024001432234"
489276,"ОП-З-02257-005","2023-10-03 10:29:45.249318+03",489037,"1022401359177"
467725,"ОП-З-01675-001","2023-09-08 11:48:31.64621+03",467626,"1021900535975"
462424,"ОП-З-01516-002","2023-09-05 16:51:25.202089+03",462145,"1027810241502"
534363,"ОП-З-03489-003","2023-12-26 16:49:52.683431+03",534105,"1034316504540"
462925,"О-З-01506-007","2023-09-06 07:40:02.185801+03",461712,"1024001432234"
463772,"ОП-З-01518-002","2023-09-06 14:02:13.16743+03",462240,"1127451018750"
463126,"ОП-З-01547-001","2023-09-06 09:50:43.559394+03",463086,"1020502523623"
463794,"ОП-З-01519-002","2023-09-06 14:08:43.865512+03",462253,"1022900529431"
477481,"ОП-З-01961-003","2023-09-18 14:18:23.428105+03",477219,"1024001432234"
507329,"ОП-З-02686-001","2023-10-24 15:23:31.589003+03",507299,"1023701508236"
467192,"О-З-01538-001","2023-09-08 04:17:01.84506+03",462817,"1022401359177"
465811,"ОП-З-01618-001","2023-09-07 10:57:37.106888+03",465736,"1022701287652"
484044,"ОП-З-02121-002","2023-09-27 12:44:47.329268+03",483591,"1027600693812"
468167,"ОП-З-01691-001","2023-09-08 13:51:01.095041+03",468149,"1057747900143"
468624,"ОП-З-01705-001","2023-09-08 16:33:07.752961+03",468613,"1127451018750"
470839,"ОП-З-01715-002","2023-09-11 16:59:01.140955+03",468808,"1021500582278"
471247,"ОП-З-01795-001","2023-09-12 10:24:11.582382+03",471236,"1022301215947"
471936,"О-З-01796-001","2023-09-12 15:00:02.500067+03",471273,"1026701445980"
471340,"ОП-З-01797-001","2023-09-12 10:57:29.409214+03",471303,"1021000541979"
471563,"ОП-З-01778-002","2023-09-12 12:50:48.882037+03",470769,"1025901702485"
489353,"О-З-02247-004","2023-10-03 11:34:01.918741+03",488689,"1023404237669"
471173,"ОП-З-01783-002","2023-09-12 09:36:47.581517+03",470930,"1025501174885"
474470,"ОП-З-01879-003","2023-09-14 10:27:14.090462+03",474169,"1021300972769"
471294,"ОП-З-01787-002","2023-09-12 10:50:06.46939+03",470990,"1023801748761"
513087,"ОП-З-02904-001","2023-11-09 14:09:51.794341+03",513072,"1022100909710"
471369,"ОП-З-01799-001","2023-09-12 10:58:47.773373+03",471329,"1021000541979"
471608,"ОП-З-01807-001","2023-09-12 13:14:40.740183+03",471586,"1020100700641"
412526,"ОП-З-00010-002","2023-06-20 10:10:25.109745+03",412373,"1038700000998"
418825,"ОП-З-00215-001","2023-06-29 09:27:36.799941+03",418759,"1027802505279"
422178,"ОП-З-00315-001","2023-07-03 10:35:01.835961+03",421862,"1022800712681"
412823,"З-00026","2023-06-20 19:59:02.375722+03",NULL,"1023900599359"
473900,"ОП-З-01870-001","2023-09-13 15:48:29.813627+03",473863,"1023601560510"
478846,"ОП-З-01961-012","2023-09-19 14:45:14.999422+03",477219,"1024001432234"
475040,"О-З-01888-002","2023-09-14 15:21:01.74301+03",474489,"1023601560510"
475266,"О-З-01899-001","2023-09-14 16:14:01.515779+03",474893,"1026900570201"
475368,"ОП-З-01909-001","2023-09-14 16:49:00.592026+03",475316,"1021300972769"
478482,"ОП-З-01990-001","2023-09-19 12:15:09.674134+03",478457,"1021500582278"
476059,"ОП-З-01930-002","2023-09-15 12:09:13.655171+03",476025,"1027600693812"
475904,"ОП-З-01925-001","2023-09-15 11:06:15.695743+03",475829,"1127451018750"
479292,"ОП-З-02007-001","2023-09-19 17:48:45.414061+03",479242,"1095803000028"
477193,"ОП-З-01629-004","2023-09-18 11:02:46.536283+03",465989,"1022701295011"
476957,"О-З-01950-001","2023-09-18 07:31:01.587021+03",476821,"1035605501282"
481851,"ОП-З-02071-002","2023-09-22 12:35:25.717203+03",481713,"1156027004715"
506692,"ОП-З-02667-002","2023-10-23 15:02:20.285794+03",506666,"1022100976347"
477682,"О-З-01961-007","2023-09-18 16:23:02.4893+03",477219,"1024001432234"
479700,"ОП-З-01928-002","2023-09-20 10:22:46.472863+03",475865,"1021900535975"
481859,"О-З-02072-001","2023-09-22 12:50:01.839138+03",481720,"1020201933950"
492920,"ОП-З-02335-001","2023-10-05 15:47:14.69881+03",492896,"1020900511268"
511864,"ОП-З-02868-001","2023-11-08 10:14:53.050715+03",511847,"1022601954715"
520630,"ОП-З-03138-002","2023-11-20 15:18:45.048804+03",520589,"1027810241502"
484348,"ОП-З-02114-002","2023-09-27 15:07:30.925638+03",483250,"1159102004050"
479737,"ОП-З-02014-001","2023-09-20 10:34:21.437713+03",479416,"1027501153074"
479956,"О-З-02018-002","2023-09-20 12:29:01.673635+03",479518,"1022601974757"
480132,"ОП-З-02024-001","2023-09-20 15:01:43.111573+03",480031,"1023901869452"
